distance_km,hour_of_day,day_of_week,route_type_encoded,junction_count,historical_delay_factor,delay_sec
22.25324586455868,13,4,1,29,0.8705126822498058,175
31.505269232965567,5,1,2,53,1.0450855156936436,488
27.37331346833658,21,2,1,38,1.3009866215731136,326
8.657044459680122,11,5,0,9,1.3642013899717709,360
11.205653686981664,9,0,2,16,1.355821191461175,399
30.700817143472904,22,5,1,34,1.4999366118486694,420
1.1790203552295406,10,2,0,1,1.3454331714185954,52
28.921766225014053,17,6,1,25,1.336517905063963,590
28.10036057756957,10,2,0,38,1.2752392365379113,1215
16.90978839668651,13,6,0,21,1.3332458132408078,383
11.30310251185666,11,1,0,16,1.3843691039189019,493
10.466470811426293,12,1,2,14,1.5808512203515046,202
9.665565980240236,10,3,2,13,0.9436768747835528,217
16.132594400009985,16,6,0,24,1.3144613402312544,423
18.154640804570413,11,6,1,16,0.8994464755069369,263
19.818909970532744,15,2,0,30,0.9648546700849199,360
34.84700963676935,17,5,2,49,1.541358451019103,1296
27.950505253267604,8,4,2,41,1.1238141670539252,802
22.15409380099953,4,6,0,26,1.2537149529453004,522
34.62464502118409,2,6,1,30,0.9693301721028936,256
8.320495740010365,14,5,1,14,1.2080222626317108,111
6.447209151166715,4,4,2,10,0.819508425042152,108
21.826346545283048,8,2,2,38,1.264667731815943,750
2.4940282706870347,18,4,0,3,1.5633791043635596,123
2.213129478302269,11,5,0,3,1.3498076523126343,47
18.50621988922659,15,0,0,30,1.3323767910446889,532
16.851004861059828,3,2,2,22,1.2439030100813695,292
32.18370428855698,19,4,2,54,1.056274425121972,902
22.393692652694355,14,5,1,36,1.4190436301123939,308
18.479999984383472,1,1,1,16,1.1108203500405618,132
17.893696803379143,11,1,1,16,1.0692643035888167,275
9.415507348929248,21,2,2,11,1.2379669567283438,144
1.4009968684451992,11,5,0,1,1.579853102442455,87
7.541672895500562,9,2,0,10,1.3872877672018773,319
24.529092109982532,0,0,1,33,1.3397004091767228,342
7.820628615557837,22,6,0,13,0.9024486294431336,144
13.564234560475029,5,2,2,21,1.4465268943157072,307
1.1269642297705824,14,4,2,1,1.1382621065301446,0
29.221622813259348,10,2,2,33,1.3027728754248566,865
6.251676756088955,13,5,1,10,1.2486954222746267,108
10.098376355168705,2,5,0,15,1.4283666626555245,283
30.931293235348175,19,1,0,25,0.8256620863469306,685
18.33288753552639,3,0,1,26,0.8780858864901051,144
